"PROVMUN,C,5","COUNT,N,11,0","AVE_OBJECT,N,18,4","SUM_SHAPE_,N,18,4","SUM_SHAPE_1,N,18,4","FIRST_NOMB,C,85"
"pepe","pepe","pepe","pepe","pepe","pepe"
"12139",1,6087,"70280,6362","150967262,392","Vistabella del Maestrazgo"
"12140",1,6623,"32469,2211","49937586,0839","Viver"
"12141",1,5404,"40608,4007","68923818,7898","Zorita del Maestrazgo"
"12142",1,6384,"33234,9544","51688459,3064","Zucaina"
"12901",1,6700,"17454,1881","12705575,9914","Alquer›as del Ni±o Perdido"
"12902",1,6454,"29248,0448","29320024,9658","Sant Joan de Moræ"
"46001",1,6451,"59764,9252","100408827,322","Ademuz"
"46002",2,"7564,5","33274,1976","13636486,8111","Ador"
"46003",1,7669,"16392,1895","6043978,8081","Atzeneta d'Albaida"
"46004",1,7653,"19674,5095","16116204,6229","Agullent"
"46005",1,7132,"12061,7686","3818891,0287","Alaqu”s"
"46006",1,7637,"39434,5412","35527076,8776","Albaida"
"46007",1,7168,"20405,8919","7160380,7764","Albal"
"46008",1,7272,"18965,7838","14402110,4653","Albalat de la Ribera"
"46009",1,7048,"20446,8743","4519482,7272","Albalat dels Sorells"
"46010",1,6936,"28968,8148","21499152,4456","Albalat dels Tarongers"
"46011",1,7341,"26045,8926","26798783,662","Alberic"
"46012",1,7161,"29904,8232","27710625,3881","Alborache"
"46013",1,7105,"13514,2578","8498670,7584","Alboraya"
"46014",1,7068,"9202,3078","4497119,7319","Albuixech"
"46015",1,7169,"12708,8358","9057356,9968","Alc”sser"
"46016",1,7380,"14710,8312","3421553,9199","Alc”ntera de X∑quer"
"46017",2,7321,"90564,2663","110881368,3431","Alzira"
"46018",1,6784,"26973,7667","43453183,1481","Alcublas"
"46019",2,"7301,5","32787,2129","23972905,8959","Alc∑dia (l')"
"46020",1,7541,"10756,4455","5274286,3214","Alc∑dia de Crespins (l')"
"46021",1,7125,"22138,6555","15965496,2833","Aldaia"
"46022",1,7150,"25982,8377","9906575,3472","Alfafar"
"46023",1,7565,"13322,141","6243893,7408","Alfauir"
"46024",1,6834,"19325,8074","11793037,3632","Alfara de Algimia"
"46025",1,7075,"6524,682","1941427,6922","Alfara del Patriarca"
"46026",1,7235,"22339,7342","20430217,8583","Alfarp"
"46027",1,7599,"14045,2329","6280660,293","Alfarras›"
"46028",1,6830,"16320,2126","13113513,7705","Algar de Palancia"
"46029",1,7273,"28220,8797","41191490,0952","Algemes›"
"46030",1,6871,"21494,0198","14391876,5016","Algimia de Alfara"
"46031",1,7252,"21853,0014","24139607,3492","Alginet"
"46032",1,7101,"6838,9508","2658168,1953","Alm”ssera"
"46033",1,7575,"15778,793","7483245,8306","Almiser”"
"46034",1,7560,"7620,9011","2209168,7419","Almoines"
"46035",1,7216,"19294,713","10793927,5878","Almussafes"
"46036",1,6632,"51217,8272","138254348,911","Alpuente"
"46037",1,7570,"8703,7538","2121325,1191","Alqueria de la Comtessa (l)"
"46038",1,6748,"55047,345","142826269,432","Andilla"
"46039",1,7422,"25160,968","21385863,0769","Anna"
"46040",1,7363,"21592,5049","17728528,4317","Antella"
"46041",1,6641,"39686,7735","75770464,829","Aras de los Olmos"
"46042",1,7608,"25753,3924","26627728,7442","Aielo de Malferit"
"46043",1,7620,"17511,2827","7842289,023","Aielo de Rugat"
"46044",1,7359,"101066,2788","446617166,978","Ayora"
"46045",1,7424,"26026,1505","28487431,5539","Barxeta"
"46046",1,7433,"18539,6999","16174550,5817","Barx"
"46047",1,7629,"23348,747","17324730,3981","Bﬁlgida"
"46048",2,"7551,5","10774,362","2754694,4942","Bellreguard"
"46049",1,7556,"15636,86","9586431,6892","Bell∑s"
"46050",1,6887,"35379,0362","70072553,0727","Benag⁄ber"
"46051",1,7019,"32202,5902","25485158,0149","Benaguasil"
"46052",1,6902,"13604,8557","4383439,0994","Benavites"
"46053",2,"7398,5","11404,9972","3176310,7593","Beneixida"
"46054",1,7151,"3519,3676","801779,5621","Benet∑sser"
"46055",1,7578,"8794,7981","2755471,8629","Beniarjæ"
"46056",1,7642,"17011,4851","11380820,8233","Beniatjar"
"46057",1,7587,"18928,0988","11292387,9477","Benicolet"
"46058",1,6914,"10688,269","4354099,157","Benifairæ de les Valls"
"46059",1,7374,"26339,1536","20455564,781","Benifairæ de la Valldigna"
"46060",1,7237,"20059,9119","20001088,4733","Benifaiæ"
"46061",1,7591,"3693,228","615454,3323","Beniflﬂ"
"46062",1,7502,"26634,9564","33654946,7948","Benigﬂnim"
"46063",2,"7313,5","22594,7944","12512777,0992","Benimodo"
"46064",1,7338,"9896,821","4322613,9428","Benimuslem"
"46065",1,7175,"8672,138","3777269,835","Beniparrell"
"46066",1,7551,"2778,521","360585,3931","Benirredr”"
"46067",1,7015,"6215,3826","2244083,8625","Benisanæ"
"46068",1,7684,"10167,5754","4060542,8288","Benissoda"
"46069",1,7614,"5875,6856","2140068,5431","Benisuera"
"46070",1,6995,"34884,7201","74751157,4882","B⁄tera"
"46071",1,7328,"49520,0278","136571350,389","Bicorp"
"46072",1,7731,"52002,3829","96752215,3941","Bocairent"
"46073",1,7391,"35938,8186","40550895,0227","Bolbaite"
"46074",1,7099,"4574,8842","1010014,1211","Bonrep?s i Mirambell"
"46075",2,7665,"12624,9372","3189569,5769","Bufali"
"46076",1,6990,"31027,9432","40342611,7171","Bugarra"
"46077",1,7122,"57486,8983","112312292,866","Bu±ol"
"46078",1,7104,"8349,6652","3459239,3213","Burjassot"
"46079",1,6837,"49376,7779","64654493,1078","Calles"
"46080",1,6964,"58068,2112","90023225,6892","Camporrobles"
"46081",5,"7499,4","38329,9112","21873244,7948","Canals"
"46082",1,6955,"8407,8178","3683126,7702","Canet d'En Berenguer"
"46083",1,7340,"45321,1702","59062675,8371","Carcaixent"
"46084",1,7385,"15944,9771","7526901,1845","C”rcer"
"46085",1,7260,"31416,0306","45857514,5853","Carlet"
"46086",1,7665,"10366,0163","4592655,0306","Carr›cola"
"46087",1,6559,"26871,0846","15762050,0689","Casas Altas"
"46088",1,6572,"21183,7393","22732170,5724","Casas Bajas"
"46089",1,6925,"25183,9282","41437410,8955","Casinos"
"46090",1,7621,"26796,2502","19161277,4962","Castellæ de Rugat"
"46091",1,7600,"11216,9562","5474711,4498","Castellonet de la Conquesta"
"46092",1,6342,"61081,7886","108037912,652","Castielfabib"
"46093",1,7256,"30923,3787","35787392,2734","Catadau"
"46094",1,7157,"23712,8016","13054490,9265","Catarroja"
"46095",1,7058,"25648,8634","34393178,9336","Caudete de las Fuentes"
"46096",16,"7510,8125","21859,7061","1402028,9775","Cerd”"
"46097",1,7242,"46783,242","102966017,239","Cofrentes"
"46098",1,7315,"24394,0608","20307647,1418","Corbera"
"46099",1,7218,"75382,8048","232902935,302","Cortes de Pallﬂs"
"46100",2,"7397,5","16029,9408","6185510,0858","Cotes"
"46101",1,6883,"11780,8035","8377604,3008","Quart de les Valls"
"46102",1,7118,"31263,8952","19607475,8669","Quart de Poblet"
"46103",2,"6905,5","16360,1404","3170277,3359","Quartell"
"46104",1,7439,"39577,4295","43644379,8361","Quatretonda"
"46105",1,7284,"41666,9814","53729612,5034","Cullera"
"46106",2,6790,"96994,8704","190565889,8186","Chelva"
"46107",1,7384,"40776,2417","43323577,0034","Chella"
"46108",1,7017,"30741,5602","54271742,9616","Chera"
"46109",1,7079,"44017,8312","71445926,6351","Cheste"
"46110",1,7127,"9462,3892","5224337,2155","Xirivella"
"46111",1,7081,"82522,7161","178813289,422","Chiva"
"46112",1,6967,"32243,9008","61956238,5063","Chulilla"
"46113",1,7488,"8670,8163","3114427,1661","Daim∑s"
"46114",2,6939,"59236,6873","68844372,9369","Dome±o"
"46115",1,7226,"56669,3029","121464200,027","Dos Aguas"
"46116",1,7047,"13572,9393","8805546,7814","Eliana (l')"
"46117",1,7067,"703,2969","23010,3556","Emperador"
"46118",1,7432,"75142,5442","241697753,256","Enguera"
"46119",1,7401,"19815,2649","7510803,6871","?nova (l')"
"46120",1,6917,"19365,7808","20840884,1812","Estivella"
"46121",1,7434,"10495,6834","6382537,2738","Estubeny"
"46122",1,6910,"9043,6482","1638778,5019","Faura"
"46123",1,7345,"12970,3225","9535107,0991","Favara"
"46124",1,7694,"40682,056","74879062,1166","Fontanars dels Alforins"
"46125",2,"7313,5","15306,7843","4543709,3873","Fortaleny"
"46126",1,7049,"20774,2056","6601433,7896","Foios"
"46127",1,7589,"13098,6823","9945355,3831","Font d'En Carr?s (la)"
"46128",1,7636,"42137,3958","84455477,3095","Font de la Figuera (la)"
"46129",1,7030,"29172,6595","49619533,8703","Fuenterrobles"
"46130",1,7368,"15931,1933","7750350,4563","Gavarda"
"46131",1,7415,"53878,103","61121130,8159","Gandia"
"46132",5,"7525,8","26939,3872","15172269,0954","Genov⁄s"
"46133",1,7014,"39237,7794","70024041,6257","Gestalgar"
"46134",1,6956,"14669,7025","11121344,9011","Gilet"
"46135",1,7061,"16034,984","8288240,0933","Godella"
"46136",1,7141,"27469,6312","37482146,6079","Godelleta"
"46137",11,"7492,0909","11016,3948","825149,5546","Granja de la Costera (la)"
"46138",1,7592,"10381,2076","3243608,5918","Guadasequies"
"46139",1,7276,"51662,361","34914515,1471","Guadassuar"
"46140",1,7539,"5745,8891","1182362,0478","Guardamar de la Safor"
"46141",1,6838,"20281,2519","18713187,1858","Higueruelas"
"46142",1,7282,"48772,825","94499466,3812","Jalance"
"46143",1,7403,"23352,852","20242093,167","Xeraco"
"46144",1,7322,"55295,7824","103220939,429","Jarafuel"
"46145",16,"7465,75","130670,0444","76714303,3129","X”tiva"
"46146",1,7427,"20810,0728","16832730,8699","Xeresa"
"46147",1,6859,"106374,6412","228086601,971","Ll›ria"
"46148",2,7036,"59671,119","72710751,7274","Loriguilla"
"46149",1,6943,"16370,5426","12094626,0747","Losa del Obispo"
"46150",1,7479,"36168,0425","40099482,4376","Llutxent"
"46151",6,"7455,8333","10415,0287","1433302,6219","Llocnou d'En Fenollet"
"46152",1,7154,"888,3274","44813,7387","Lugar Nuevo de la Corona"
"46153",1,7606,"10852,8083","6393212,0156","Llocnou de Sant Jeroni"
